TweetID,TimeOfDay,Tweet
1123,19,MARCHING BAND PEEPS BE APART OF THE PEP BAND TONIGHT FOR THE LACROSSE GAME
1124,21,I liked a @YouTube video http://t.co/gEn89W0X0G Baking Cupcakes with Zoella!
1125,19,Jim from the gym
1126,14,Another day of painting and scrubbing and everything else...but we're making a dent!
1127,0,Thanks for all the support! ‰€œ@HansonsRunShop: Good luck to everyone involved in this weekends Susan G Komen 3 Day Walk in Detroit! @The3Day‰€ù
1128,16,"although the string of expletives i let out upon walking outside today may suggest otherwise, i kinda love manhattan in august."
1129,2,but i actually didnt cuz we missed the fucking bus to go to hot yoga
1130,13,Either the universe is telling me to stop running or I have very sensitive sesamoid bones
1131,2,"Busy day. Grass cut, garden fence and gate up, repairs on playset, sandbox built and filled, pool inflated and filled, and ribs on grill."
1132,11,Time to run it up
1133,2,My whollllle team going out tomorrow .. we need it.. and them weights and miles.   Hope we dont have to fight again.lol
1134,17,be me\nbe at work\nbe miserable\nwalk into traffic
1135,17,"@9and10News - After 50 years, #Oscoda Schools could lose our pool.  We could use some help, please retweet:  http://t.co/Y4LiDIiDIG"
1136,1,Miles Teller in a new boxing movie... The man can do it all
1137,13,You're indulgently swimming in your own watery element today w... More for Scorpio http://t.co/vEGEM56Tnr
1138,12,Took it back early this morning #classic #jeezy #thugmotivation #gymflow @ Life Time Fitness http://t.co/ZZ7ThvLXya
1139,15,"Tuesdays Homemade Soups are....... Chicken Orzo or Chicken Matzoball,Chili,  Loaded Baked Potato and New England Clam Chowder!!!"
1140,2,About 2 go shoot some pool and have some drinks!!!
1141,19,So my art class is painting me lmaoo http://t.co/wprDMl49mX
1142,14,"Since when is a 17 year old kids life supposed to revolve around cleaning the house, aren't I supposed to be enjoying my youth?"
1143,13,Get to hfcc 6 minutes before class and you'll be 5 late because of the 7 hour walk
1144,17,Weighted pull ups are fun https://t.co/YpW59rl1Tq
1145,19,Working out would be so much easier with this man in my life. Where can I find this trainer lmao https://t.co/cZl2cHpNxN
1146,16,Best start to a swim meet.  \nBeing evacuated because of a gas leak in the building.
1147,5,Shot 5Times Blessed To Talk Walk And Do Everything I Been Doin Most Of All Alive! ’Ê_’_è’Ê_’À_’Ê_’_è’Ê_’À_‰œ_’Ê_’À_
1148,14,Heated cuz I dropped my work id running from the storm yesterday and that bitch blew tf away
1149,2,Richmond: Three Pole Dance Fitness Classes http://t.co/mjAUSsUEnE
1150,3,"@_audreyriddle take it for a test run, we'll go from there."
1151,22,"I'm at Chrysler Jefferson North Assembly Plant (Detroit, MI) http://t.co/jPNmgoV"
1152,18,@SarahJulia90 I'm just working out....alone!! LoL
1153,22,"@TheeJeremyBrown don't worry, @lee_cummings will be proud of me for getting you ready to run across Colorado with him!!"
1154,3,"Oppenheimer pierde por segunda vez contra documentales de mÌ_sica. VÌÁyanse a la chucha, gente que decide Mejor Documental."
1155,20,Well I guess the only thing to do when you get called off is to go to the gym the parking lot is practically empty lol
1156,13,"Price reduced on 5305 Bull Run to $149,900!  Great price reduction!  Contact our office for more information!"
1157,16,@BrownCityHigh Brown City at Marlette boys basketball is on for tonight #marletteboysbasketball
1158,1,Life wouldn't  be right if I didn't wrestle w my brother at every party!  Lmao #toughgirl ’Ê_’±Œ’Ê_’_»
1159,11,What the fuck am I up for doing some one else's yard work. FML...
1160,23,Welp pool time
1161,15,You have a lot of chores to finish today and your responsible ... More for Aries http://t.co/fTfhRShiH8
1162,20,@byrd_brianna @WorldStarFunny us at the gym ’Ê_’ü‚’Ê_’ü‚’Ê_’ü‚
1163,2,Ball hits the rim and everyone walks away.
1164,19,Are you a #Fitness #Model looking for portfolio images?\n\nONE CANCELLATION PLACE AVAILABLE!! \n\n@DavidLloydUK Bolton‰€_ https://t.co/ahXSYQZ5Ou
1165,14,My health is my wealth. (@ Muirwood Health Club &amp; Fitness Center) http://t.co/QecKtqV4IY
1166,17,Fans excited for big soccer match in Ann Arbor via @wxyzdetroit http://t.co/4gzxhxr1Jn
1167,16,my intentions were to play music to get energy to workout.. now all I want to do is a drive-by or rob a 7-11. west dearborn thug
1168,2,@__BtcImMe__bb i went to this zumba class it was so fun
1169,21,Pink @HPU_Tweets wristies Come get them @MittenSportsLLC inside #farmingtonhillsicearena #hockey #mihockey #wristy http://t.co/msyYiiozx3
1170,20,Tell me what U like. I can cook just about everythang.
1171,19,So excited for our maize and blue ice dancing stars gold medal win. Love love love you guys.
1172,23,Chores Finnish time to relax http://t.co/OkzqCCTF
1173,17,These boots are made for walking! @ Lockhart's BBQ http://t.co/B1Kx4ndxdk
1174,2,Plant just called me ’¨È’¡€’¨È’¡€
1175,17,Watching the pro gym challenge! Makes me miss gymnastics!
1176,4,@NatBradford3 @ebradford24 okay basketball manager
1177,3,cb_brundidge04 not matching at all suit vest .... levis sagging .... WHITE GYM SHOES DA FUCK BRO!!! http://t.co/RbcDLXak
1178,17,If all these niggas keep running they mouth like bitches and dick sucking y'all not gone leave nothing for the girls to do
1179,16,@kyllis327 how's the ol' diaper bag working out?
1180,0,@Savager551 well it nice to meet you anyway Seth -walking-
1181,13,Thanks to Jeska @lobsterandsawn for sharing this gem of a tumblr! Inspires me to start one for HG... confetti garden http://t.co/6Rkr5tcY
1182,13,Shooting stills of the MHSAA LP Cross Country Finals for Michigan Runner &amp; http://t.co/Lek3qE09 http://t.co/sGfFucvq
1183,16,Oh tis so awkward when you're walking one day &amp; halfway to your destination u find you've  been going the wrong way and have to turn around
1184,17,Post soccer lunch (at @McDonalds) http://t.co/ojeWNgiCfN
1185,4,"I keep daydreaming about snuggling a walking stick. Ew, why?"
1186,5,Detroit Party Marching band. Detroit Futbol League. Beer. What more could you ask for?  @ Green Dot Stables http://t.co/UBIYBuBR
1187,16,"""I don't get mad, I just get paid, smelling like a pound, walking in the bank"" HEEEEEYYYYYY!"
1188,22,Biking is fun ! (@ Jolly Pumpkin Cafe &amp; Brewery w/ 3 others) http://t.co/IGnMDycU
1189,14,When Bugs Bunny hears his jam come on in the club #dance #cartoon #comedy #loop #daftpunk #favthings https://t.co/gRugJogNCU
1190,3,Crowd surfed to Ellie Goulding but quickly realized that wasn't the crowd for that when I landed on my head
1191,2,Interesting what they called a football in 1896 https://t.co/5fMiYaVBvc
1192,14,Sprint #triathlon Training Plan for Beginners: 8 Weeks w/ @t2coachwendy Only $27 https://t.co/VlKzbL2bFz https://t.co/ucXGTAsTjd
1193,21,Michigan Basketball game tonight ’Ê_’_™’Ê_’À€’Ê_’_› #LetsGoBlue #MichTape #BeatNorthwestern
1194,4,Alarm is set for 230. Tomorrow is 1/2 Marathon.
1195,3,I would forget my basketball shorts for intramural basketball #great
1196,23,[auto] MWA Uprising Results + More: MWA Uprising was a night to remember! We saw two wrestling legen... http://t.co/LgLUZTB0gb #RoughKut
1197,15,Working out (@ Snap Fitness) http://t.co/nQXtaQIaFC
1198,0,Wow I missed the gym the past three days.. Feels good to sweat ’Ê_’_»’Ê_’À_’Ê_’ü…
1199,17,@rysevo 2:30-3ish come drink some beer in the pool
1200,13,Just keep running away
1201,0,Izzie has been waiting for baseball but loves her hockey.\n#RallyTogether https://t.co/P98AjwIbMh
1202,4,"@glanalaw Saturday at my place! Probably early afternoon-I can keep you posted, if you like! You may go running first too!!"
1203,6,Just cause we played pool doesn't mean I wanna keep talking to you after... #justsayin
1204,16,got my sub 30 min back at park run. I just ran 2.99 mi @ a 10'00'' pace with Nike+. http://t.co/7bea6Zi6cq #nikeplus
1205,21,Photo: My clean baby! Cleaned her inside and out and now she smells like a Hawaiian paradise’Ê_’_–’Ê_’_œ’Ê_’__’Ê_’_– http://t.co/wsEWdP9Dhg
1206,13,Awe too cute she ready to dance lol http://t.co/yNPi6G68z7
1207,19,Making furry friends at the Roseden pool. http://t.co/aNNzU13cDf
1208,5,Wat The Poop... by Chon #chon #prog #rock #jazz #guitar #sweep #fender #detroit #michigan #waynestate https://t.co/AeLGa4zokc
1209,20,The Vernier girls (:  @ University of Michigan Golf Course http://t.co/WfnantEB
1210,1,If I was a DJ I would play bands a make her dance atleast 5 times each party
1211,20,7 Bucket List Bike Destinations #bucketlist #travel #bicycling #biketo \nhttp://t.co/kaqLY7vbIm
1212,4,"@loudcity14 actually, Shane yelled at me today for walking on it. ’Ê_’ü‚’Ê_’ü‚’Ê_’ü‚"
1213,13,So much for going home and sleeping. Going to workout with my mom #bonding
1214,15,Let's go sledding today
1215,3,"Finally home! I just LOVE being greeted by my babies when I walk through the door, it's the best‰€_ http://t.co/st8UtyC4rU"
1216,4,Wow...just got home from baseball tourney. Last game 11innings and won the championship!! Great job Mitch and the Linden Eagles!
1217,22,Watching the Facilities vs. Marketing game :) Cheering for Facilities!!! (@ Wilpon Softball Complex) http://t.co/J2dhGVKk
1218,17,I just love when things don't work out like they're supposed to
1219,12,Unity Lodge Annual Scholarship golf outing! (@ Rouge park golf course) http://t.co/XKGYfk8xnV
1220,1,"Been eating out to much I needed a home cooked meal! steak bites, mashed potatoes, and corn ona cob http://t.co/S9BOWKtt2H"
1221,17,"Yesterday I spent four hours walking finding this dogs owner. Morally, I feel good. Physically, I feel sunburnt. https://t.co/eBUICfoQzm"
1222,2,Half the party I spent running away from little kids. #tired
1223,17,Powder skiing
1224,15,It honestly feels so weird walking on the bridge by couzens. Did this every day last year
1225,15,Your day may not run as smoothly as you wish because unschedul... More for Libra https://t.co/o0Ox9gJqFR
1226,18,#metal #Singer #Cleans #Guttural #vocals https://t.co/HmzVhh9Gm8
1227,16,You don't have to walk into the break room every 15 minutes checking the clock to see if we've punched in... We're big kids we know when to
1228,3,Just ran into Brandon Dawson
1229,3,Bout to watch these Dubs do their thing! KD Day Day Chef Curry https://t.co/NYDSe3JcgU
1230,19,@MrOof /spyder/ That looks like a jet ski on wheels. I wonder if they make an amphibious model.
1231,23,"7-7, Brandon vs Holly Football, 5:00 remaining, 1st quarter. 45yd run by Kevin Bickett!"
1232,13,"Money may not grow on trees, yet you could plant seeds today t... More for Scorpio https://t.co/eunQVSmvfU"
1233,20,"My hairs to long for a curling iron, now what do I do _"
1234,21,@KayCamille_ hoes use Twitter/IG to fill the void that their fathers left when they walked out on them
1235,17,"@dinx931 are you able to go to Zumba yet? If so, we should go soon!"
1236,18,Only slightly embarrassed that I'm walking around campus eating a giant banana. Slightly.
1237,13,So awkward walking into a silent room having no idea whether you're about to be praised or yelled at ’ _’ü‚’ _’ü‚’ _’ü‚ #mylifeisajoke
1238,0,Post-cycling refueling with 8x 5-spice tofu Kung Pao jicama street tacos! #NoMeatAthlete https://t.co/Amd6Yeqhqf https://t.co/pZ1GhrPUnr
1239,19,I added a video to a @YouTube playlist https://t.co/FWnoKmXybh Friday volleyball Clement 8-8-14 net view pt 1
1240,19,Only a month until I get some warm weather and to ride my dirt scooter ’Ê_’±…’Ê_’_Œ
1241,1,"Watching bgc, don't working out lmao_"
1242,22,Still Time to sign up for Youth Football Camps! http://t.co/Dii4KUdb30
1243,0,I had given up on my #heirloom #tomato plant until I checked today. Lo and behold a bounty! Thanks #MotherEarth! http://t.co/isXduvHhmZ
1244,23,If #grandvalley wants to pretend their a D1 school get your football game day under control ’Ê_’ü’
1245,12,You may be spinning in circles today because there are hidden ... More for Leo http://t.co/d2yIZbyOwa
1246,15,Insructional skating sessions SIGN UP TODAY! Veterans Memorial Ice Arena. Learn to Skate USA Program. 734.794.6235. https://t.co/TxtTam4IK3
1247,17,"I'm at Life Time Fitness (40000 High Pointe Blvd, at Haggerty Rd, Novi) w/ 4 others http://t.co/B0D9gcye"
1248,14,If there is a food fight during B or C lunch there is a good chance I am running out of Mrs. Bakers room to watch ’Ê_’ü‹’Ê_’_ù’Ê_’_•’Ê_’±_
1249,13,"@daniel7zimmer Hahahaha Jesus. But yeah, that's what goes through my mind on the dance floor. ’Ê_’üŸ"
1250,15,"SNOW! Oh, me! Oh, my!  How woooonderful! ...say I, with a twinkle in my eye and warm fuzzies dancing about in the cockles of my heart."
1251,3,It's always cleans and always smell so good in here ’Ê_’üŒ
1252,4,and tonight will go on forever while we walk around this town like we own the streets.
1253,14,Gym today _
1254,15,Stevenson Dance Team days. #tbt @SRKloss @tressaelizabeth mikaanna http://t.co/zeanskxQ
1255,15,Nearly falling down the stairs and looking around to see if anyone saw
1256,0,Last walk though ___ (@ The Sterling Heights Branch w/ @karynromanski) http://t.co/x3WtsbVMaW
1257,1,Shoulder blast in the gym!! MUSCLE THERAPY!! (@ Ford Woodhaven Stamping Plant) http://t.co/nkI9DI0mqm
1258,22,Pershing Girls bouta play King Girls in our Gym
1259,14,I just got a coaching for leaving my phone in my car I don't want to be here today
1260,1,omg baseball sucks this game is so hard why does anyone even watch this cruel game
1261,3,Hunting next week FWM bow is nasty
1262,6,"@Chubbies turned the karate kid, into Chuck Norris"
1263,13,#WarriorSB: The @NCAADII Softball Selection Show begins in five minutes! https://t.co/jacTH9byrt https://t.co/XgwwOsqETH
1264,10,#squaredroid #gainsbyfire #gymlife #xmasfitness #TagsForLikes #rules #hardwork #gym #fit‰€_ https://t.co/P9bJPxMB8z
1265,5,Been food running since 4... not even close to done... (@ Heidelberg w/ 5 others) http://t.co/su4pDjHI
1266,19,@AsiaAlexander @tenderheart218 thing is.. I digs tofu.. but at a bbq? Nah.. Lol
1267,2,"It sucks, but I don't have faith in the @tigers this season. They're all over the place which usually doesn't work out."
1268,19,@RedWingsFeed @ScottieUpshall dude.. You get to play hockey for a living. Do u realize how lucky you are? Stop complaining!
1269,16,Thank god I have a pool
1270,6,#KMichelleMyLife the ’Ê_’±€’Ê_’±€on they face when traci walked in priceless ’Ê_’ü…’Ê_’ü…
1271,23,Hmu if you want to go for a run...
1272,21,Alittle boy came to our door yesterday &amp; just knocked on the door for 10 min and then 3 dogs just ran to him&amp;then dispersed into the woods &amp;
1273,4,"Shoutout to the greatest Fantasy Football League ever. From the family-like atmosphere,‰€_ https://t.co/NwIL81sRLR"
1274,22,"first they put me in paint, next they tell me we're down so we're gunna work 10 hours, after I realize I have 1 cigarette, &amp; finally my car"
1275,9,Had THE BEST time @3doorsdown #3DoorsDown concert tonight! Even slow danced with my hubby @JMVanHornAuthor to our s‰€_ https://t.co/NBauerc7hw
1276,21,My favorite Eastern Redbud in the park is coming into bloom. Bike! Bike! Bike! Bike!... https://t.co/diMrW1ziX4 http://t.co/6KI8Lxnx9R
1277,14,What I would do to be running along Lakeshore Dr right now ‰˜€•üè
1278,23,Beautiful Run #JoiqueBell!!
1279,1,"I did a workout with @MapMyRide! Distance: 4.00mi, time: 24:57, pace: 6:14min/mi, speed: 9.63mi/h http://t.co/3Aef0j2h"
1280,17,Soccer at chippewa today @ 5
1281,22,"I'm at Planet Fitness (Novi, MI) http://t.co/z0Q1aRaZ"
1282,21,"Soo since potbelly is next door to just baked... I can just eat potbelly for dinner, right? Lol #excuses"
1283,2,Super slow motion shot of my swing. How crazy is that arm looking?! Lol #QueenOfCarts #UrGolfsquad @‰€_ https://t.co/usPTHLAytx
1284,12,I'm teaching Breallen to do interpretive dance. She's already experimenting with incorporating lighting elem http://t.co/uyB7o0tB
1285,12,Up early and headed to drop Emma off at football camp.
1286,19,"Yay, I cooked lunch for myself instead of eating junk food or buying fast food. https://t.co/6z30hdwQHm"
1287,22,2/21/15 WOD Results http://t.co/4X7nZmIeYo\n#countryspiritcrossfit\n#crossfit\n#health\n#fitness @‰€_ http://t.co/HZDFKf0O0l
1288,2,Allow the umpire to use his discretion as to whether or not the run would have scored. https://t.co/4BKVFI5Sg9
1289,5,@meowth 3 cockroaches in my lanai suite got me upgraded to a crispy suite in the Westgate. Cockroaches definitely run Las Vegas. #TheMafia
1290,15,Freakin' gorgeous day today. Spent the morning in the woods with the dogs. Now on to make food and paint.
1291,23,"The red panda woke up and started walking around before we left, but I‰€_ https://t.co/oO1eugSzTh"
1292,3,https://t.co/TWMRSEPJMA #MADEINMICHIGAN #REVERBNATION #FOLLOWME #CHECKTHISOUT #LISTENTOTHIS #NOWPLAYING #AWESOME #BLOGGER #DANCE #TRAVEL #DJ
1293,19,Dude doing social media selfie videos on a bike riding past my house in 91 degree weather.‰€_ https://t.co/bsSo3DXWo9
1294,2,@Cassie_Tweeting um 3 hour walk? deff not lazy ;p
